Dimension_0	Dimension_1	Dimension_2	Dimension_3	Dimension_4	DataSet	KxCount	Weight	TargetMean	Variance	NormalProfit
0	0	0	0	0	0	22	22	0.22727272727272727	0.0024596615505706413	0
0	0	0	0	1	0	19	19	0.15789473684210525	0.039396737457679278	0
0	0	0	0	2	0	11	11	0.090909090909090925	0.00082644628099173573	0
0	0	0	0	3	0	5	5	0.20000000000000001	0.010000000000000002	0
0	0	0	0	0	1	6	6	0	0	0
0	0	0	0	1	1	12	12	0.083333333333333343	0.00063131313131313137	0
0	0	0	0	2	1	4	4	0	0	0
0	0	0	1	0	0	2	2	0.5	0.25	0
0	0	0	1	1	0	8	8	0	0	0
0	0	0	1	2	0	2	2	0.5	0.25	0
0	0	0	1	3	0	2	2	0	0	0
0	0	0	1	0	1	1	1	0	0	0
0	0	0	1	1	1	3	3	0	0	0
0	0	0	1	2	1	1	1	0	0	0
0	0	0	1	3	1	1	1	0	0	0
0	0	0	2	0	0	6	6	0.16666666666666669	0.0055555555555555558	0
0	0	0	2	1	0	14	14	0.14285714285714288	0.0015698587127158559	0
0	0	0	2	2	0	6	6	0.16666666666666669	0.0055555555555555558	0
0	0	0	2	0	1	3	3	0.33333333333333337	0.055555555555555552	0
0	0	0	2	1	1	4	4	0.5	0.083333333333333329	0
0	0	0	2	3	1	1	1	0	0	0
0	0	0	3	0	0	15	15	0.13333333333333333	0.0012698412698412696	0
0	0	0	3	1	0	32	32	0.093750000000000014	0.00028351814516129034	0
0	0	0	3	2	0	10	10	0.099999999999999992	0.0011111111111111109	0
0	0	0	3	3	0	8	8	0.375	0.020089285714285719	0
0	0	0	3	0	1	7	7	0	0	0
0	0	0	3	1	1	6	6	0.33333333333333337	0.022222222222222223	0
0	0	0	3	2	1	5	5	0	0	0
0	0	0	3	3	1	2	2	0	0	0
0	0	0	4	0	0	1	1	1	0	0
0	0	0	4	1	0	3	3	0	0	0
0	0	0	4	2	0	1	1	0	0	0
0	0	0	4	3	0	1	1	0	0	0
0	0	0	4	0	1	1	1	1	0	0
0	0	0	4	1	1	2	2	0.5	0.25	0
0	0	1	0	0	0	17	17	0	0	0
0	0	1	0	1	0	20	20	0.049999999999999996	0.00013157894736842105	0
0	0	1	0	2	0	11	11	0	0	0
0	0	1	0	3	0	1	1	0	0	0
0	0	1	0	0	1	4	4	0	0	0
0	0	1	0	1	1	15	15	0.066666666666666666	0.00031746031746031741	0
0	0	1	0	2	1	3	3	0	0	0
0	0	1	0	3	1	2	2	0.5	0.25	0
0	0	1	1	1	0	4	4	0	0	0
0	0	1	1	2	0	1	1	0	0	0
0	0	1	1	3	0	1	1	0	0	0
0	0	1	1	0	1	1	1	0	0	0
0	0	1	1	1	1	1	1	0	0	0
0	0	1	1	2	1	1	1	0	0	0
0	0	1	2	0	0	7	7	0	0	0
0	0	1	2	1	0	18	18	0	0	0
0	0	1	2	2	0	7	7	0	0	0
0	0	1	2	3	0	1	1	0	0	0
0	0	1	2	0	1	3	3	0	0	0
0	0	1	2	1	1	2	2	0	0	0
0	0	1	2	2	1	3	3	0	0	0
0	0	1	2	3	1	2	2	0	0	0
0	0	1	3	0	0	13	13	0.076923076923076927	0.00049309664694280092	0
0	0	1	3	1	0	39	39	0.10256410256410257	0.00027682618775736189	0
0	0	1	3	2	0	13	13	0	0	0
0	0	1	3	3	0	9	9	0.22222222222222221	0.0061728395061728392	0
0	0	1	3	0	1	5	5	0.20000000000000001	0.010000000000000002	0
0	0	1	3	1	1	9	9	0	0	0
0	0	1	3	2	1	3	3	0	0	0
0	0	1	3	3	1	2	2	0	0	0
0	0	1	4	0	0	4	4	0.5	0.083333333333333343	0
0	0	1	4	1	0	6	6	0.33333333333333337	0.022222222222222223	0
0	0	1	4	3	0	1	1	0	0	0
0	0	1	4	1	1	2	2	0.5	0.25	0
0	0	1	4	2	1	1	1	0	0	0
0	1	0	0	0	0	9	9	0.1111111111111111	0.0015432098765432098	0
0	1	0	0	1	0	27	27	0.25925925925925924	0.0025852062889099923	0
0	1	0	0	2	0	8	8	0.25000000000000006	0.0089285714285714315	0
0	1	0	0	3	0	3	3	0.33333333333333337	0.055555555555555552	0
0	1	0	0	0	1	5	5	0	0	0
0	1	0	0	1	1	2	2	0.5	0.25	0
0	1	0	0	2	1	3	3	0.33333333333333337	0.055555555555555552	0
0	1	0	0	3	1	4	4	0	0	0
0	1	0	1	0	0	4	4	0.25	0.1875	0
0	1	0	1	1	0	5	5	0	0	0
0	1	0	1	2	0	4	4	0	0	0
0	1	0	1	3	0	2	2	0.5	0.25	0
0	1	0	1	0	1	1	1	0	0	0
0	1	0	1	2	1	1	1	0	0	0
0	1	0	2	0	0	12	12	0.41666666666666663	0.030934343434343443	0
0	1	0	2	1	0	18	18	0.22222222222222221	0.0029048656499636896	0
0	1	0	2	2	0	7	7	0	0	0
0	1	0	2	0	1	2	2	0.5	0.25	0
0	1	0	2	1	1	11	11	0.27272727272727276	0.0074380165289256225	0
0	1	0	2	2	1	2	2	0	0	0
0	1	0	2	3	1	2	2	0.5	0.25	0
0	1	0	3	0	0	14	14	0.14285714285714288	0.0015698587127158559	0
0	1	0	3	1	0	25	25	0.24000000000000005	0.0024000000000000011	0
0	1	0	3	2	0	15	15	0.13333333333333336	0.0012698412698412701	0
0	1	0	3	3	0	7	7	0.4285714285714286	0.054421768707482984	0
0	1	0	3	0	1	5	5	0	0	0
0	1	0	3	1	1	10	10	0	0	0
0	1	0	3	2	1	3	3	0	0	0
0	1	0	3	3	1	3	3	0.33333333333333331	0.22222222222222221	0
0	1	0	4	0	0	3	3	0	0	0
0	1	0	4	1	0	5	5	0.40000000000000002	0.040000000000000008	0
0	1	0	4	2	0	3	3	0	0	0
0	1	0	4	3	0	1	1	1	0	0
0	1	0	4	0	1	1	1	0	0	0
0	1	1	0	0	0	23	23	0.086956521739130432	0.00034370166695308463	0
0	1	1	0	1	0	21	21	0.14285714285714288	0.0010204081632653062	0
0	1	1	0	2	0	2	2	0.5	0.25	0
0	1	1	0	3	0	8	8	0.375	0.055803571428571432	0
0	1	1	0	0	1	3	3	0	0	0
0	1	1	0	1	1	10	10	0.29999999999999999	0.01	0
0	1	1	0	2	1	2	2	0	0	0
0	1	1	0	3	1	1	1	0	0	0
0	1	1	1	0	0	1	1	0	0	0
0	1	1	1	1	0	10	10	0	0	0
0	1	1	1	3	0	3	3	0	0	0
0	1	1	1	0	1	2	2	0	0	0
0	1	1	1	2	1	1	1	0	0	0
0	1	1	1	3	1	1	1	1	0	0
0	1	1	2	0	0	2	2	0	0	0
0	1	1	2	1	0	10	10	0.20000000000000001	0.071111111111111097	0
0	1	1	2	2	0	3	3	0	0	0
0	1	1	2	3	0	1	1	0	0	0
0	1	1	2	0	1	3	3	0.33333333333333331	0.22222222222222221	0
0	1	1	2	1	1	2	2	0	0	0
0	1	1	2	2	1	1	1	0	0	0
0	1	1	3	0	0	11	11	0.090909090909090912	0.00082644628099173573	0
0	1	1	3	1	0	34	34	0.11764705882352944	0.00041941910454021208	0
0	1	1	3	2	0	11	11	0	0	0
0	1	1	3	3	0	5	5	0	0	0
0	1	1	3	0	1	4	4	0	0	0
0	1	1	3	1	1	13	13	0.076923076923076913	0.00049309664694280071	0
0	1	1	3	2	1	3	3	0	0	0
0	1	1	3	3	1	2	2	0	0	0
0	1	1	4	0	0	1	1	0	0	0
0	1	1	4	1	0	8	8	0.5	0.035714285714285712	0
0	1	1	4	2	0	5	5	0.20000000000000001	0.16000000000000003	0
0	1	1	4	0	1	1	1	0	0	0
0	1	1	4	1	1	5	5	0.59999999999999998	0.040000000000000008	0
0	1	1	4	2	1	2	2	0.5	0.25	0
0	1	1	4	3	1	1	1	1	0	0
0	2	0	0	0	0	16	16	0.125	0.0010416666666666667	0
0	2	0	0	1	0	22	22	0.22727272727272732	0.0024596615505706422	0
0	2	0	0	2	0	14	14	0.35714285714285715	0.0098116169544740992	0
0	2	0	0	3	0	6	6	0.33333333333333337	0.088888888888888892	0
0	2	0	0	0	1	6	6	0.16666666666666669	0.0055555555555555558	0
0	2	0	0	1	1	13	13	0.30769230769230765	0.039940828402366874	0
0	2	0	0	2	1	4	4	0	0	0
0	2	0	0	3	1	4	4	0.75	0.020833333333333325	0
0	2	0	1	0	0	2	2	0.5	0.25	0
0	2	0	1	1	0	2	2	0	0	0
0	2	0	1	3	0	1	1	0	0	0
0	2	0	1	0	1	2	2	0	0	0
0	2	0	1	2	1	1	1	1	0	0
0	2	0	2	0	0	5	5	0	0	0
0	2	0	2	1	0	13	13	0.38461538461538458	0.012327416173570017	0
0	2	0	2	2	0	7	7	0.14285714285714288	0.0034013605442176878	0
0	2	0	2	3	0	4	4	0.5	0.083333333333333343	0
0	2	0	2	0	1	5	5	0.40000000000000002	0.040000000000000008	0
0	2	0	2	1	1	5	5	0	0	0
0	2	0	2	2	1	2	2	0	0	0
0	2	0	2	3	1	2	2	0	0	0
0	2	0	3	0	0	9	9	0.44444444444444442	0.024691358024691357	0
0	2	0	3	1	0	17	17	0.23529411764705888	0.0034602076124567488	0
0	2	0	3	2	0	13	13	0.23076923076923078	0.049309664694280067	0
0	2	0	3	3	0	6	6	0.83333333333333337	0.0055555555555555532	0
0	2	0	3	0	1	3	3	0	0	0
0	2	0	3	1	1	8	8	0.625	0.055803571428571432	0
0	2	0	3	2	1	2	2	0	0	0
0	2	0	3	3	1	1	1	0	0	0
0	2	0	4	0	0	2	2	0	0	0
0	2	0	4	1	0	4	4	0.25	0.020833333333333336	0
0	2	0	4	2	0	1	1	0	0	0
0	2	0	4	3	0	2	2	0.5	0.25	0
0	2	0	4	1	1	2	2	0	0	0
0	2	0	4	3	1	1	1	0	0	0
0	2	1	0	0	0	19	19	0.26315789473684209	0.0038473376423514933	0
