ContractId	Age	Gender	Children	Profession	"Customer Type"	"Multiple cars"	"Driving Licence Years"	"Car category"	"Annual Kilometers"	Gearbox	Fuel	Claim	rr_Claim
1	55	Woman	4+	Retired	Agency	No	14	Saloon	24074	Automatic	Diesel		0.053115127472396981
2	58	Man	1	Unemployed	Agency	No	13	Sport	19328	Manual	Diesel		0.34303134891063014
3	26	Woman	4+	Independant	Agency	No	3	Sport	21141	Automatic	Diesel		0.26505680150117572
4	47	Woman	1	Unemployed	Agency	No	22	Estate	41040	Manual	Petrol		-0.083551880182920785
5	54	Woman	2	"Private Sector - Manager"	On-line	No	18	Estate	31620	Manual	Diesel		0.051071195082254342
6	78	Man	4+	"Public Sector - Manager"	Agency	No	18	Estate	17837	Manual	Diesel		0.46823202116985141
7	39	Man	2	Independant	On-line	No	21	Saloon	20065	Automatic	Diesel		0.21384779522537509
8	43	Woman	2	Retired	Agency	No	11	Saloon	35688	Automatic	Diesel		0.013925718136688359
9	51	Woman	0	"Private Sector - Employee"	Agency	Yes	20	Sport	24503	Manual	Diesel		0.30090150686568146
10	42	Woman	0	"Public Sector - Manager"	Agency	Yes	18	Estate	24053	Manual	Diesel		0.25515272102331721
11	52	Woman	1	Student	Agency	Yes	18	Estate	27859	Automatic	Diesel		0.049580297333509181
13	38	Man	3	"Public Sector - Director"	Agency	No	20	Sport	21000	Automatic	Diesel		0.32429166742696336
15	20	Woman	2	Independant	Agency	No	2	Saloon	19898	Automatic	Diesel		0.082173695590559551
16	36	Man	0	Independant	Agency	No	18	Sport	22955	Manual	Diesel		0.56320962955439513
17	46	Man	2	Independant	On-line	No	7	Saloon	18803	Manual	Petrol		0.053880624097436325
18	43	Man	0	"Private Sector - Employee"	Agency	Yes	13	Saloon	21278	Automatic	Diesel		0.21842976737580788
22	73	Man	4+	"Private Sector - Director"	Agency	No	19	Estate	23840	Automatic	Petrol		0.091215900152182505
24	72	Man	1	"Public Sector - Director"	Agency	No	15	Sport	19236	Manual	Petrol		0.15673533457467342
25	51	Man	2	Retired	Agency	No	17	Saloon	52001	Automatic	Petrol		0.0079142876796312114
26	26	Man	1	"Private Sector - Employee"	On-line	No	8	Saloon	14524	Automatic	Petrol		0.0069914455292872588
27	54	Woman	0	Government	Agency	No	9	Sport	25546	Manual	Diesel		0.39369612706351165
29	26	Man	2	Independant	Agency	No	8	Saloon	21365	Automatic	Petrol		0.13161862231623556
31	70	Woman	4+	"Public Sector - Manager"	Agency	No	21	Sport	26608	Manual	Diesel		0.35822163557692877
32	57	Man	4+	"Private Sector - Employee"	On-line	No	14	Saloon	37656	Automatic	Diesel		0.077883657595578901
33	38	Woman	2	Student	Agency	No	11	Sport	19971	Automatic	Diesel		0.25378806359556411
34	47	Man	2	"Private Sector - Manager"	On-line	No	12	Estate	20428	Manual	Petrol		0.077293988649912937
35	55	Man	0	Independant	On-line	Yes	8	Estate	40589	Automatic	Diesel		0.29078027238046572
36	54	Woman	1	"Private Sector - Director"	Agency	No	15	Estate	9710	Manual	Diesel		-0.011489584064889688
37	53	Man	2	Independant	Agency	Yes	5	Sport	26288	Manual	Petrol		0.27378939796775736
38	83	Man	4+	Independant	Agency	No	13	Estate	33856	Automatic	Diesel		0.36049182426705484
39	25	Man	4+	"Private Sector - Director"	Agency	No	7	Saloon	13183	Automatic	Diesel		0.19010606701921198
40	56	Man	1	Independant	Agency	No	14	Saloon	17741	Automatic	Diesel		0.14210751071545041
41	54	Woman	2	"Public Sector - Director"	Agency	No	19	Sport	48351	Automatic	Diesel		0.054972641268864128
42	78	Man	0	Student	On-line	Yes	19	Saloon	37625	Automatic	Diesel		0.50065311231050247
43	59	Man	2	"Private Sector - Employee"	On-line	Yes	19	Estate	16191	Manual	Petrol		-0.058284443714657339
44	75	Man	4+	"Public Sector - Employee"	Agency	Yes	4	Saloon	18688	Automatic	Diesel		0.25729010389515355
45	40	Man	4+	"Private Sector - Employee"	Agency	No	16	Saloon	34814	Automatic	Diesel		0.14931808249785514
46	21	Woman	2	Unemployed	Agency	Yes	3	Saloon	39791	Automatic	Petrol		-0.011811058306511919
48	66	Woman	0	Retired	Agency	Yes	18	Estate	26830	Automatic	Diesel		0.21753454986711471
49	25	Woman	1	"Public Sector - Director"	Agency	No	7	Estate	25235	Automatic	Diesel		0.036046988638355759
50	55	Woman	4+	Student	Agency	Yes	14	Sport	30189	Automatic	Petrol		0.12508671594763521
51	53	Man	1	Student	On-line	No	12	Saloon	35683	Automatic	Diesel		0.16224501806212591
53	55	Man	1	Student	Agency	Yes	21	Saloon	18550	Manual	Diesel		0.1468116457055228
55	20	Man	1	"Private Sector - Director"	On-line	No	2	Saloon	16763	Automatic	Diesel		0.19124464223609913
56	36	Man	1	Independant	On-line	No	7	Estate	21494	Automatic	Petrol		0.12831600683543973
57	27	Woman	2	Retired	Agency	No	9	Estate	20177	Manual	Petrol		0.00050743362403754544
58	68	Woman	2	"Public Sector - Manager"	Agency	No	5	Sport	26839	Automatic	Petrol		0.26339590726767353
59	50	Man	4+	"Private Sector - Director"	On-line	No	12	Estate	20091	Automatic	Diesel		0.17074520955767508
60	56	Man	3	Independant	Agency	No	11	Sport	18844	Automatic	Diesel		0.32662697869988988
61	26	Man	4+	"Private Sector - Director"	Agency	No	7	Sport	25453	Automatic	Petrol		0.34682002714554833
62	42	Woman	4+	Independant	On-line	No	16	Sport	28603	Automatic	Diesel		0.15689651421211998
63	45	Woman	0	"Private Sector - Employee"	Agency	No	21	Estate	10306	Automatic	Diesel		0.054193834805797696
64	19	Woman	2	Retired	On-line	No	1	Estate	28924	Manual	Petrol		0.031698957439888958
